"","TP08A","TP08B","TP08C","TP08D","TP08E","TP08F","TP08G","TP08H","TP08J","TP08M","grp"
"4878",10,10,10,10,10,10,10,10,10,10,3
"4879",10,8,8,10,9,8,10,10,7,7,3
"4880",10,10,10,8.89,10,8.89,6.67,10,5.56,10,3
"4881",7.78,8.89,8.89,5.56,7.78,6.67,7.78,5.56,4.44,3.33,1
"4882",8.89,8.89,7.78,7.78,10,10,8.89,10,8.89,10,3
"4883",7,9,10,7,9,7,10,10,8,10,3
"4884",3,2,0,3,1,0,3,2,3,2,2
"4885",0,5.56,4.44,0,4.44,2.22,2.22,1.11,1.11,0,2
"4886",7.78,10,3.33,4.44,7.78,7.78,6.67,6.67,7.78,7.78,1
"4887",10,10,10,10,10,10,10,10,10,10,3
"4888",4.44,6.67,6.67,3.33,7.78,5.56,4.44,4.44,3.33,6.67,1
"4889",1,1,1,1,1,0,1,2,1,2,2
"4890",8.89,0,10,4.44,8.89,6.67,5.56,5.56,10,7.78,1
"4891",9,9,8,7,8,9,9,9,8,8,3
"4892",10,8.89,10,7.78,10,10,10,10,10,8.89,3
"4893",8.89,10,8.89,8.89,10,10,10,8.89,10,10,3
"4894",9,9,8,9,7,9,10,7,10,8,3
"4895",1.11,4.44,3.33,0,6.67,5.56,0,2.22,7.78,2.22,2
"4896",7.78,7.78,7.78,5.56,8.89,8.89,7.78,8.89,8.89,10,3
"4897",7.78,7.78,10,4.44,10,7.78,10,10,10,10,3
"4898",0,0,0,0,4.44,1.11,0,2.22,1.11,1.11,2
"4899",6.67,6.67,6.67,4.44,6.67,6.67,6.67,5.56,3.33,6.67,1
"4900",0,8.89,0,7.78,10,10,10,10,8.89,10,3
"4901",10,6.67,10,7.78,10,10,8.89,10,7.78,10,3
"4902",6.67,10,8.89,6.67,10,10,8.89,10,10,8.89,3
"4903",8.89,10,8.89,10,10,10,4.44,7.78,7.78,8.89,3
"4904",7.78,5.56,7.78,4.44,7.78,6.67,6.67,5.56,5.56,7.78,1
"4905",4.44,7.78,10,4.44,10,10,10,10,10,10,3
"4906",7.78,7.78,7.78,7.78,7.78,8.89,7.78,8.89,7.78,8.89,3
"4907",7.78,10,8.89,4.44,7.78,7.78,8.89,10,5.56,10,3
"4908",3,2,1,1,1,3,0,1,0,1,2
"4909",2.22,4.44,6.67,2.22,3.33,2.22,3.33,3.33,2.22,3.33,2
"4910",10,8.89,10,7.78,8.89,4.44,4.44,3.33,4.44,4.44,1
"4911",0,0,0,0,10,0,0,10,10,0,2
"4912",4.44,6.67,7.78,8.89,1.11,8.89,2.22,7.78,6.67,6.67,1
"4913",4,6,4,4,5,4,4,4,6,6,1
"4914",4.44,10,10,6.67,10,10,8.89,10,10,10,3
"4915",5,4,4,5,4,4,5,5,6,6,1
"4916",2,1,3,3,1,0,0,2,1,2,2
"4917",10,10,7.78,10,10,10,10,10,10,10,3
"4918",10,10,10,7.78,10,10,10,10,10,10,3
"4919",10,10,10,10,10,6.67,0,2.22,4.44,0,1
"4920",2.22,7.78,5.56,6.67,8.89,5.56,4.44,3.33,2.22,6.67,1
"4921",7.78,7.78,4.44,2.22,10,7.78,4.44,10,7.78,0,1
"4922",1.11,4.44,4.44,2.22,6.67,4.44,2.22,4.44,4.44,3.33,1
"4923",6,5,4,4,4,5,5,5,6,5,1
"4924",7.78,6.67,8.89,8.89,10,10,10,10,8.89,10,3
"4925",8.89,10,8.89,7.78,10,8.89,8.89,10,8.89,10,3
"4926",2.22,4.44,6.67,2.22,2.22,3.33,2.22,3.33,3.33,2.22,2
"4927",6.67,10,6.67,1.11,8.89,6.67,4.44,6.67,4.44,10,1
"4928",7.78,10,10,7.78,10,10,10,10,10,10,3
"4929",10,10,10,10,10,4.44,7.78,10,6.67,4.44,3
"4930",10,10,10,6.67,10,10,10,10,10,7.78,3
"4931",4.44,4.44,6.67,10,6.67,10,6.67,10,10,3,3
"4932",4.44,6.67,4.44,3.33,7.78,7.78,6.67,7.78,7.78,6.67,1
"4933",1.11,4.44,4.44,4.44,4.44,4.44,1.11,1.11,4.44,4.44,2
"4934",10,8.89,10,6.67,10,10,10,10,10,10,3
"4935",10,8.89,10,10,10,10,10,10,10,10,3
"4936",1.11,10,4.44,0,10,6.67,6.67,10,10,10,1
"4937",10,10,10,10,10,10,10,10,10,10,3
"4938",7.78,7.78,8.89,6.67,8.89,8.89,10,10,10,10,3
"4939",0,3,0,2,0,0,1,0,0,3,2
"4940",5.56,7.78,7.78,7.78,10,10,10,10,7.78,7.78,3
"4941",1,2,2,3,1,2,1,3,1,3,2
"4942",10,10,10,4.44,10,10,10,10,10,10,3
"4943",7.78,5.56,7.78,6.67,10,7.78,6.67,6.67,6.67,6.67,3
"4944",10,10,8,9,8,8,8,9,10,7,3
"4945",0,8.89,10,6.67,10,10,10,10,10,10,3
"4946",7.78,7.78,10,5.56,10,10,10,10,10,10,3
"4947",10,10,10,6.67,10,10,0,10,7.78,0,3
"4948",3.33,3.33,7.78,4.44,4.44,4.44,7.78,10,4.44,3.33,1
"4949",6.67,10,6.67,6.67,8.89,6.67,10,10,4.44,6.67,3
"4950",9,8,7,7,9,7,10,7,8,10,3
"4951",10,10,10,10,10,10,6.67,6.67,6.67,10,3
"4952",0,3,1,2,2,1,2,2,1,1,2
"4953",0,0,1,1,0,2,2,0,0,2,2
"4954",6.67,6.67,6.67,2.22,8.89,8.89,8.89,8.89,4.44,4.44,1
"4955",10,10,10,10,10,7.78,8.89,10,8.89,8.89,3
"4956",3,2,3,0,1,3,2,0,3,2,2
"4957",10,10,7,7,9,7,9,10,7,10,3
"4958",6,4,4,6,4,6,4,5,4,6,1
"4959",8.89,8.89,10,4.44,5.56,6.67,4.44,6.67,4.44,5.56,1
"4960",0,6.67,0,3.33,10,5.56,8.89,8.89,1.11,8.89,1
"4961",0,10,1.11,7.78,10,10,10,10,10,8.89,3
"4962",1.11,2.22,0,4.44,8.89,6.67,6.67,7.78,6.67,6.67,1
"4963",10,10,10,7.78,7.78,3,7.78,7.78,7.78,8.89,3
"4964",0,3,10,4.44,4.44,0,0,0,1.11,0,2
"4965",10,8.89,10,8.89,10,10,10,10,10,10,3
"4966",0,8.89,7.78,1.11,10,0,0,0,2.22,0,2
"4967",6.67,10,7.78,4.44,10,7.78,6.67,6.67,8.89,0,1
"4968",3,1,2,2,0,3,1,2,2,1,2
"4969",6,4,4,4,5,6,4,5,5,5,1
"4970",10,10,10,4.44,10,10,10,10,7.78,10,3
"4971",10,10,10,10,10,10,10,10,10,10,3
"4972",10,10,10,7.78,10,10,10,10,10,10,3
"4973",0,0,3,1,0,3,1,0,1,2,2
"4974",5.56,2.22,10,1.11,10,10,10,5.56,10,10,3
"4975",3,3,0,0,2,1,0,1,0,2,2
"4976",10,10,10,4.44,10,10,10,10,4.44,10,3
"4977",2.22,4.44,3.33,7.78,8.89,8.89,4.44,2.22,4.44,4.44,1
"4978",4.44,10,4.44,2.22,10,10,7.78,10,10,10,3
"4979",7.78,10,8.89,7.78,8.89,7.78,7.78,8.89,8.89,6.67,3
"4980",7.78,7.78,8.89,0,10,10,8.89,10,6.67,6.67,3
"4981",10,10,7.78,6.67,7.78,7.78,4.44,7.78,7.78,4.44,3
"4982",4,5,4,4,6,5,4,4,4,5,1
"4983",10,10,8,10,9,7,9,9,7,8,3
"4984",3,1,2,1,2,3,2,1,1,3,2
"4985",8,10,9,10,9,8,8,10,10,7,3
"4986",4,6,6,4,4,5,6,6,5,5,1
"4987",6,5,6,4,5,4,5,5,4,6,1
"4988",6.67,6.67,7.78,5.56,7.78,7.78,8.89,8.89,7.78,8.89,3
"4989",10,10,10,10,10,10,10,4.44,10,10,3
"4990",6,4,5,5,5,4,6,5,5,5,1
"4991",0,10,10,10,10,10,10,10,10,10,3
"4992",10,3,10,6.67,7.78,6.67,7.78,7.78,7.78,1.11,1
"4993",7,8,10,8,8,9,9,9,9,8,3
"4994",2.22,7.78,10,0,10,10,7.78,8.89,7.78,8.89,3
"4995",4.44,10,10,8.89,10,10,7.78,6.67,7.78,8.89,3
"4996",10,8.89,8.89,8.89,8.89,8.89,1.11,8.89,8.89,1.11,3
"4997",4,4,5,4,6,6,4,4,6,5,1
"4998",4.44,7.78,4.44,7.78,8.89,7.78,8.89,10,8.89,8.89,3
"4999",10,10,7.78,7.78,10,10,10,7.78,4.44,10,3
"5000",4.44,4.44,4.44,1.11,7.78,6.67,8.89,6.67,5.56,4.44,1
"5001",10,9,7,7,8,9,10,9,8,10,3
"5002",10,10,10,10,10,10,10,10,7.78,10,3
"5003",0,6.67,6.67,5.56,7.78,8.89,8.89,7.78,6.67,10,1
"5004",6.67,4.44,6.67,4.44,10,8.89,8.89,10,8.89,10,3
"5005",10,8.89,10,8.89,10,10,8.89,10,8.89,10,3
"5006",8.89,10,10,10,10,8.89,8.89,8.89,7.78,10,3
"5007",10,8.89,8.89,6.67,8.89,8.89,10,10,8.89,10,3
"5008",2.22,8.89,4.44,10,10,6.67,6.67,10,6.67,10,3
"5009",7.78,10,7.78,7.78,10,7.78,7.78,7.78,6.67,10,3
"5010",2,2,1,3,1,3,2,2,3,0,2
"5011",9,8,9,10,10,9,7,9,10,9,3
"5012",6.67,10,8.89,4.44,7.78,5.56,7.78,7.78,6.67,8.89,3
"5013",3,1,0,0,1,0,0,3,2,0,2
"5014",5,4,6,5,6,5,6,4,5,4,1
"5015",7.78,7.78,8.89,8.89,8.89,7.78,8.89,8.89,8.89,8.89,3
"5016",8.89,10,10,10,10,10,8.89,10,10,10,3
"5017",2.22,10,4.44,0,10,7.78,2.22,3.33,5.56,2.22,1
"5018",3.33,6.67,6.67,1.11,7.78,5.56,5.56,7.78,4.44,4.44,1
"5019",4.44,6.67,7.78,3.33,10,7.78,10,10,10,8.89,3
"5020",9,10,7,9,7,10,9,10,7,7,3
"5021",4,5,4,4,5,5,6,5,5,6,1
"5022",9,7,9,10,10,8,10,8,9,9,3
"5023",4.44,10,7.78,7.78,10,10,10,10,10,10,3
"5024",10,7.78,7.78,10,10,10,10,10,10,10,3
"5025",10,10,7.78,10,10,10,10,8.89,8.89,10,3
"5026",7.78,7.78,4.44,4.44,7.78,7.78,7.78,8.89,7.78,7.78,3
"5027",7.78,7.78,7.78,5.56,8.89,8.89,8.89,8.89,7.78,7.78,3
"5028",3.33,7.78,5.56,4.44,10,8.89,10,7.78,8.89,10,3
"5029",10,10,10,7.78,10,7.78,10,10,7.78,10,3
"5030",6.67,6.67,5.56,2.22,6.67,6.67,5.56,6.67,6.67,10,1
"5031",7.78,10,10,8.89,10,10,7.78,10,6.67,10,3
"5032",10,8.89,10,10,10,10,10,10,10,8.89,3
"5033",2.22,5.56,4.44,4.44,7.78,10,8.89,8.89,5.56,7.78,1
"5034",5,5,4,4,5,4,4,5,4,5,1
"5035",1.11,7.78,0,0,10,10,7.78,10,10,10,1
"5036",6.67,6.67,10,7.78,7.78,4.44,3.33,6.67,8.89,4.44,1
"5037",6.67,7.78,7.78,3.33,4.44,6.67,5.56,2.22,7.78,3.33,1
"5038",5.56,7.78,7.78,7.78,10,8.89,8.89,10,10,10,3
"5039",7.78,7.78,6.67,3.33,8.89,4.44,8.89,8.89,6.67,8.89,3
"5040",0,0,0,0,3,0,1,2,2,2,2
"5041",10,10,4.44,8.89,10,10,10,10,7.78,10,3
"5042",5,5,5,5,6,4,6,5,6,5,1
"5043",7.78,10,10,6.67,10,10,10,10,10,10,3
"5044",1,0,3,2,1,3,2,2,1,0,2
"5045",4.44,4.44,1.11,7.78,7.78,5.56,4.44,7.78,7.78,5.56,1
"5046",10,9,8,10,7,10,7,9,7,9,3
"5047",1.11,10,4.44,4.44,8.89,7.78,5.56,6.67,7.78,5.56,1
"5048",4.44,10,10,4.44,4.44,4.44,4.44,2.22,4.44,0,1
"5049",0,4.44,4.44,4.44,10,7.78,10,10,7.78,7.78,1
"5050",1.11,4.44,4.44,2.22,10,5.56,5.56,5.56,4.44,10,1
"5051",0,1,1,2,0,3,2,1,2,2,2
"5052",8.89,10,10,10,10,10,10,10,10,10,3
"5053",8.89,3,7.78,7.78,10,10,10,10,10,10,3
"5054",10,10,10,7.78,6.67,8.89,10,10,10,0,3
"5055",0,5.56,1.11,4.44,10,7.78,10,7.78,4.44,7.78,1
"5056",5.56,8.89,10,4.44,10,8.89,7.78,8.89,4.44,7.78,3
"5057",10,10,10,8.89,10,10,10,10,10,10,3
"5058",1.11,3.33,2.22,4.44,7.78,7.78,4.44,5.56,7.78,6.67,1
"5059",4.44,10,10,0,10,10,10,4.44,0,10,1
"5060",6.67,10,6.67,5.56,10,10,10,10,10,10,3
"5061",8,8,10,8,7,8,8,10,9,10,3
"5062",8.89,8.89,5.56,7.78,10,10,8.89,8.89,8.89,8.89,3
"5063",8.89,6.67,10,7.78,10,10,1.11,10,8.89,0,1
"5064",7.78,7.78,7.78,8.89,10,10,8.89,10,8.89,10,3
"5065",4.44,10,10,10,8.89,5.56,4.44,5.56,7.78,6.67,3
"5066",8.89,10,10,7.78,10,10,8.89,10,8.89,10,3
"5067",10,10,10,7.78,10,10,10,10,10,10,3
"5068",0,0,0,0,0,0,0,0,0,0,2
"5069",10,8.89,10,10,10,10,10,10,10,8.89,3
"5070",10,10,10,7.78,10,10,10,10,7.78,10,3
"5071",1,3,3,1,1,2,1,3,0,0,2
"5072",5.56,5.56,4.44,4.44,5.56,5.56,4.44,4.44,6.67,6.67,1
"5073",10,7.78,7.78,10,10,10,10,10,10,10,3
"5074",7,10,8,9,8,8,10,8,7,9,3
"5075",0,1.11,2.22,0,1.11,2.22,0,0,1.11,1.11,2
"5076",5,6,5,4,6,6,5,4,4,6,1
"5077",10,9,7,9,7,8,8,9,10,7,3
"5078",3,3,2,1,3,3,1,2,1,0,2
"5079",6.67,5.56,7.78,4.44,8.89,7.78,8.89,7.78,6.67,6.67,3
"5080",10,9,7,10,9,10,10,7,7,7,3
"5081",3,0,1,3,0,0,2,1,0,1,2
"5082",4.44,10,10,4.44,10,7.78,7.78,6.67,7.78,4.44,3
"5083",1,2,3,3,2,0,1,3,0,0,2
"5084",7.78,10,10,6.67,10,10,7.78,10,7.78,10,3
"5085",8,9,9,10,9,9,10,10,8,8,3
"5086",6.67,10,7.78,8.89,10,10,8.89,6.67,7.78,8.89,3
"5087",10,10,8.89,10,10,10,10,10,8.89,10,3
"5088",6,6,4,5,6,5,4,5,4,5,1
"5089",6.67,7.78,7.78,7.78,10,8.89,8.89,8.89,8.89,8.89,3
"5090",7.78,7.78,7.78,6.67,7.78,7.78,7.78,7.78,7.78,4.44,3
"5091",4.44,4.44,5.56,0,10,4.44,2.22,7.78,2.22,6.67,1
"5092",3,3,0,2,2,2,2,2,1,3,2
"5093",2,1,1,1,2,1,0,0,1,2,2
"5094",6,4,4,5,5,4,4,5,5,5,1
"5095",3,3,0,0,0,0,1,0,2,0,2
"5096",7.78,10,10,6.67,10,7.78,10,10,10,10,3
"5097",9,8,7,7,10,7,7,8,10,8,3
"5098",5,5,4,6,4,5,6,5,5,6,1
"5099",6.67,8.89,8.89,5.56,10,10,10,10,7.78,3,3
"5100",10,10,10,7.78,10,10,7.78,10,10,10,3
"5101",10,10,7.78,8.89,10,10,8.89,10,8.89,10,3
"5102",4,4,4,4,4,6,5,6,4,4,1
"5103",7.78,10,10,10,10,10,10,10,10,7.78,3
"5104",10,10,10,10,10,10,10,10,10,10,3
"5105",7.78,10,7.78,8.89,10,10,10,10,8.89,10,3
"5106",6.67,10,7.78,6.67,8.89,7.78,6.67,8.89,8.89,7.78,3
"5107",1,3,0,2,3,2,2,0,2,0,2
"5108",1,0,2,0,3,1,1,2,3,3,2
"5109",10,10,10,10,10,10,10,10,10,10,3
"5110",6.67,8.89,3.33,4.44,10,10,10,10,10,6.67,3
"5111",10,10,10,10,10,10,10,10,10,10,3
"5112",10,10,10,2.22,10,10,10,10,10,10,3
"5113",5,5,6,5,5,6,4,5,6,5,1
"5114",0,1.11,1.11,2.22,6.67,3.33,1.11,3.33,7.78,0,2
"5115",10,10,10,4.44,10,7.78,7.78,8.89,10,0,3
"5116",10,10,7.78,6.67,10,10,8.89,10,7.78,10,3
"5117",8.89,10,7.78,4.44,7.78,6.67,7.78,8.89,8.89,7.78,3
"5118",7.78,8.89,10,7.78,10,10,10,10,8.89,10,3
"5119",7.78,10,10,10,8.89,8.89,7.78,8.89,8.89,8.89,3
"5120",8.89,8.89,8.89,8.89,10,8.89,8.89,10,8.89,10,3
"5121",10,8.89,10,7.78,10,10,8.89,10,10,10,3
"5122",10,10,10,10,10,9,8,7,7,8,3
"5123",10,10,10,10,10,10,10,10,10,10,3
"5124",2.22,10,8.89,7.78,6.67,8.89,5.56,7.78,4.44,3.33,1
"5125",10,10,10,6.67,10,10,10,10,10,10,3
"5126",10,10,10,8.89,10,7.78,8.89,7.78,10,7.78,3
"5127",10,10,10,10,10,7.78,10,6.67,10,4.44,3
"5128",4,4,4,4,4,5,6,6,5,5,1
"5129",10,10,10,10,10,10,10,10,10,10,3
"5130",7.78,7.78,7.78,10,10,8.89,7.78,8.89,7.78,6.67,3
"5131",2.22,10,3.33,0,4.44,1.11,0,1.11,0,2.22,2
"5132",4,4,6,6,6,5,6,6,5,4,1
"5133",10,5.56,5.56,10,10,10,10,5.56,4.44,10,3
"5134",7.78,10,7.78,6.67,10,10,10,10,8.89,10,3
"5135",5.56,7.78,3.33,0,10,7.78,10,10,10,10,3
"5136",7.78,7.78,7.78,7.78,10,8.89,8.89,8.89,10,7.78,3
"5137",4.44,10,10,7.78,10,10,10,10,7.78,10,3
"5138",9,10,8,9,10,10,10,7,8,7,3
"5139",6.67,10,6.67,5.56,10,7.78,6.67,7.78,5.56,7.78,3
"5140",0,10,7.78,0,4.44,3.33,5.56,4.44,4.44,4.44,1
"5141",10,8,7,9,7,7,7,7,7,10,3
"5142",9,7,8,10,8,9,9,10,9,9,3
"5143",3,0,2,1,3,0,1,0,3,2,2
"5144",4.44,10,7.78,10,10,10,7.78,8.89,10,10,3
"5145",3,2,3,3,2,2,1,2,3,2,2
"5146",2.22,4.44,2.22,6.67,1.11,2.22,2.22,5.56,1.11,1.11,2
"5147",10,7.78,10,4.44,5.56,7.78,10,10,7.78,10,3
"5148",9,10,8,10,10,7,9,7,8,7,3
"5149",4.44,6.67,4.44,7.78,8.89,7.78,2.22,2.22,4.44,0,1
"5150",7.78,10,7.78,4.44,10,10,8.89,8.89,6.67,7.78,3
"5151",2,2,3,2,2,0,3,2,2,2,2
"5152",4,6,6,5,5,4,6,6,4,4,1
"5153",9,10,9,10,7,7,8,10,9,10,3
"5154",10,10,10,10,10,10,10,10,10,10,3
"5155",3,2,1,1,2,0,0,0,3,2,2
"5156",5,6,6,5,6,4,4,6,5,6,1
"5157",6.67,8.89,6.67,6.67,10,6.67,7.78,10,7.78,7.78,3
"5158",4.44,7.78,2.22,5.56,8.89,5.56,7.78,6.67,4.44,2.22,1
"5159",5,5,6,5,6,6,6,6,6,6,1
"5160",3,3,3,0,3,2,1,2,0,3,2
"5161",2.22,6.67,2.22,4.44,7.78,1.11,5.56,3.33,4.44,4.44,1
"5162",8,7,10,7,10,7,9,8,9,9,3
"5163",7.78,10,10,8.89,10,10,10,10,10,5.56,3
"5164",7.78,10,10,5.56,8.89,8.89,10,7.78,7.78,4.44,3
"5165",7.78,7.78,8.89,7.78,8.89,7.78,8.89,8.89,7.78,8.89,3
"5166",2.22,7.78,6.67,1.11,8.89,7.78,4.44,8.89,7.78,10,1
"5167",0,3.33,6.67,0,7.78,5.56,1.11,6.67,0,0,2
"5168",5.56,10,4.44,1.11,7.78,8.89,5.56,7.78,1.11,4.44,1
"5169",7.78,10,10,7.78,10,10,10,8.89,10,10,3
"5170",10,10,10,10,10,10,10,10,10,0,3
"5171",4.44,3,3.33,5.56,7.78,5.56,2.22,5.56,5.56,6.67,1
"5172",8.89,10,10,4.44,8.89,8.89,10,7.78,10,10,3
"5173",7.78,8.89,4.44,10,5.56,10,8.89,7.78,6.67,4.44,3
"5174",7,9,8,7,9,7,9,10,10,10,3
"5175",7.78,10,8.89,7.78,10,10,10,10,10,10,3
"5176",7.78,4.44,10,5.56,8.89,5.56,10,7.78,7.78,7.78,3
"5177",4.44,10,4.44,7.78,10,10,8.89,10,10,8.89,3
"5178",3,2,3,3,1,0,3,2,0,1,2
"5179",9,7,10,10,8,9,7,9,7,9,3
"5180",5.56,8.89,7.78,3.33,10,6.67,8.89,4.44,4.44,8.89,1
"5181",10,10,10,0,10,10,10,10,10,10,3
"5182",6,5,4,6,4,5,5,5,4,4,1
"5183",3.33,10,3.33,10,10,10,10,10,10,10,3
"5184",10,7,10,10,8,7,8,9,8,8,3
"5185",6.67,10,10,10,10,10,10,10,10,10,3
"5186",2.22,8.89,4.44,0,5.56,1.11,0,4.44,2.22,0,2
"5187",7,9,7,10,9,9,8,7,7,9,3
"5188",6.67,6.67,7.78,4.44,6.67,4.44,5.56,6.67,6.67,4.44,1
"5189",10,7.78,10,7.78,10,10,10,10,10,10,3
"5190",6.67,8.89,8.89,2.22,10,8.89,7.78,8.89,6.67,10,3
"5191",6,6,5,6,6,4,5,5,4,4,1
"5192",0,4.44,4.44,4.44,10,0,10,10,0,0,1
"5193",8,8,8,10,10,8,9,7,9,10,3
"5194",10,4.44,7.78,6.67,10,10,8.89,10,4.44,8.89,3
"5195",10,10,7.78,10,8.89,7.78,8.89,7.78,8.89,5.56,3
"5196",10,10,7.78,7.78,10,7.78,7.78,10,10,10,3
"5197",10,10,10,6.67,8.89,8.89,8.89,10,7.78,10,3
"5198",3,3,3,0,3,2,1,0,2,2,2
"5199",1.11,4.44,2.22,4.44,2.22,1.11,0,2.22,4.44,0,2
"5200",6.67,4.44,4.44,7.78,8.89,8.89,6.67,10,7.78,7.78,3
"5201",10,10,10,10,10,10,10,10,10,10,3
"5202",2,1,1,3,1,0,2,3,3,1,2
"5203",10,10,10,10,10,10,10,10,10,10,3
"5204",9,9,9,10,8,7,7,7,10,10,3
"5205",6,5,4,4,5,6,4,4,5,4,1
"5206",6,6,5,4,4,4,6,5,4,6,1
"5207",10,8.89,8.89,10,10,10,10,10,10,10,3
"5208",10,7.78,10,7.78,8.89,10,10,8.89,7.78,10,3
"5209",6.67,6.67,7.78,7.78,7.78,6.67,6.67,7.78,6.67,6.67,1
"5210",0,10,10,10,10,10,0,0,10,0,1
"5211",10,9,9,10,7,8,9,8,7,8,3
"5212",1,2,2,3,2,2,2,2,0,2,2
"5213",7,10,9,7,9,9,9,7,9,10,3
"5214",7.78,10,7.78,3.33,6.67,7.78,5.56,5.56,7.78,0,1
"5215",0,10,6.67,7.78,8.89,8.89,10,10,8.89,10,3
"5216",8.89,10,7.78,10,10,10,10,7.78,10,10,3
"5217",10,8,7,8,7,9,7,10,10,9,3
"5218",0,1.11,4.44,0,4.44,2.22,0,0,1.11,0,2
"5219",9,9,9,8,10,8,10,8,8,7,3
"5220",10,10,10,10,10,10,10,10,10,10,3
"5221",3.33,10,10,0,6.67,5.56,8.89,7.78,7.78,1.11,1
"5222",5,4,5,4,4,6,6,5,6,5,1
"5223",10,10,10,7.78,7.78,0,4.44,0,0,0,1
"5224",1,0,1,1,3,2,2,1,3,2,2
"5225",0,8.89,0,5.56,8.89,8.89,8.89,8.89,8.89,8.89,1
"5226",8,9,7,9,9,9,9,8,10,8,3
"5227",3,2,0,1,2,3,1,2,1,0,2
"5228",10,10,10,4.44,10,10,10,10,4.44,10,3
"5229",5,4,4,6,5,4,4,5,4,6,1
"5230",5.56,10,10,0,10,10,10,10,10,0,3
"5231",8.89,8.89,10,4.44,10,10,10,10,4.44,10,3
"5232",2,0,2,1,3,2,0,0,3,3,2
"5233",8.89,10,6.67,10,10,10,10,10,10,10,3
"5234",5.56,7.78,7.78,3.33,10,7.78,5.56,7.78,4.44,3.33,1
"5235",10,10,10,10,10,10,10,10,10,10,3
"5236",10,10,10,10,10,10,10,10,10,10,3
"5237",5,6,6,6,5,5,5,4,6,5,1
"5238",10,7,10,9,9,8,8,7,7,9,3
"5239",6.67,6.67,6.67,7.78,10,8.89,8.89,8.89,7.78,8.89,3
"5240",0,2.22,3.33,4.44,8.89,7.78,1.11,10,5.56,0,1
"5241",10,10,8.89,7.78,10,10,8.89,10,8.89,10,3
"5242",10,10,10,4.44,10,10,10,10,10,10,3
"5243",2,1,3,2,3,0,0,3,1,3,2
"5244",7.78,10,10,6.67,10,10,10,10,10,7.78,3
"5245",7,7,10,9,7,8,7,8,10,7,3
"5246",4,5,5,4,6,5,5,4,6,4,1
"5247",6,6,5,4,4,5,4,6,4,4,1
"5248",5,6,4,6,4,6,4,5,6,6,1
"5249",7,10,8,8,8,9,10,9,10,8,3
"5250",8.89,10,8.89,7.78,10,10,10,8.89,7.78,10,3
"5251",3,2,0,3,2,3,1,3,3,1,2
"5252",2,1,3,3,2,1,2,2,2,1,2
"5253",10,10,10,3.33,4.44,4.44,4.44,4.44,4.44,0,1
"5254",9,8,10,10,8,7,7,10,9,8,3
"5255",0,1.11,0,2.22,4.44,0,0,0,4.44,0,2
"5256",2,1,1,2,2,1,3,2,1,0,2
"5257",2.22,8.89,4.44,0,4.44,3.33,7.78,10,0,8.89,1
"5258",10,10,10,0,10,4.44,4.44,4.44,7.78,0,1
"5259",10,10,10,7.78,10,10,10,10,8.89,10,3
"5260",7.78,10,10,7.78,10,8.89,10,8.89,8.89,10,3
"5261",8.89,10,8.89,7.78,10,10,8.89,8.89,10,8.89,3
"5262",6.67,4.44,2.22,6.67,8.89,7.78,7.78,7.78,6.67,8.89,1
"5263",7,9,10,7,10,8,9,10,7,9,3
"5264",10,10,6.67,8.89,10,10,10,10,10,10,3
"5265",0,1,0,2,3,1,2,3,2,1,2
"5266",8.89,10,10,4.44,10,10,10,10,10,0,3
"5267",3,3,2,3,2,3,1,3,3,3,2
"5268",7.78,10,7.78,7.78,10,10,10,10,10,10,3
"5269",6,6,5,4,6,6,4,5,4,6,1
"5270",9,7,10,7,10,8,7,7,10,10,3
"5271",7.78,10,10,8.89,10,10,8.89,10,8.89,10,3
"5272",2,3,3,0,1,2,1,3,0,0,2
"5273",2.22,7.78,0,0,10,10,10,10,10,10,1
"5274",10,10,7.78,10,7.78,7.78,10,8.89,10,10,3
"5275",10,10,10,7.78,10,10,10,10,10,0,3
"5276",0,3,1,0,3,2,3,3,3,3,2
"5277",7.78,10,8.89,3.33,10,7.78,10,6.67,8.89,6.67,3
"5278",10,10,4.44,4.44,10,10,10,10,10,10,3
"5279",10,7.78,8.89,10,10,10,10,10,10,10,3
"5280",6.67,5.56,6.67,7.78,8.89,7.78,8.89,8.89,10,10,3
"5281",3,2,0,2,1,2,1,0,2,3,2
"5282",0,1,0,0,2,1,0,2,2,0,2
"5283",5.56,5.56,6.67,4.44,8.89,7.78,6.67,6.67,6.67,7.78,1
"5284",10,10,10,10,10,10,10,10,10,10,3
"5285",8.89,10,3,10,10,10,10,10,10,10,3
"5286",7.78,10,10,8.89,10,10,7.78,7.78,5.56,7.78,3
"5287",8.89,10,10,10,10,10,10,10,10,10,3
"5288",4.44,4.44,6.67,5.56,7.78,6.67,7.78,7.78,7.78,6.67,1
"5289",9,7,10,10,7,8,7,10,10,9,3
"5290",5,4,4,5,6,6,5,5,4,4,1
"5291",10,10,10,8.89,10,8.89,10,10,10,10,3
"5292",3.33,10,10,6.67,10,6.67,6.67,7.78,6.67,8.89,3
"5293",7.78,8.89,8.89,7.78,8.89,7.78,7.78,7.78,8.89,7.78,3
"5294",8.89,10,7.78,7.78,6.67,6.67,6.67,7.78,5.56,8.89,3
"5295",10,10,10,7.78,10,10,10,10,10,10,3
"5296",8,7,7,9,9,7,10,8,10,8,3
"5297",2.22,4.44,7.78,2.22,6.67,5.56,5.56,5.56,2.22,2.22,1
